127.0.0.1 - - [03/May/2023:09:32:10 +0530] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET / HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /signin;jsessionid=0DC25C069524A96A1B9BD1769158934F HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/css/lineicons.css HTTP/1.1" 200 26995
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/css/toggle.css HTTP/1.1" 200 934
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/css/main.css HTTP/1.1" 200 86981
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/css/bootstrap.min.css HTTP/1.1" 200 163873
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/css/fullcalendar.css HTTP/1.1" 200 41500
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/css/materialdesignicons.min.css HTTP/1.1" 200 274146
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/images/auth/signin-image.svg HTTP/1.1" 200 8159
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /assets/images/auth/shape.svg HTTP/1.1" 200 839
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:11 +0530] "GET /style.css HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:23 +0530] "POST /checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:24 +0530] "GET / HTTP/1.1" 200 37358
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/jvectormap.min.js HTTP/1.1" 200 30350
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 89612
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/dynamic-pie-chart.js HTTP/1.1" 200 2021
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/moment.min.js HTTP/1.1" 200 58912
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/Chart.min.js HTTP/1.1" 200 172812
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/world-merc.js HTTP/1.1" 200 105500
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/polyfill.js HTTP/1.1" 200 6231
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/main.js HTTP/1.1" 200 1477
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/js/fullcalendar.js HTTP/1.1" 200 717985
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:25 +0530] "GET /assets/fonts/LineIcons.woff2 HTTP/1.1" 200 62540
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:32 +0530] "GET /feedback_list HTTP/1.1" 200 34381
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:35 +0530] "GET /user_list HTTP/1.1" 200 41967
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:38 +0530] "GET /order_list HTTP/1.1" 200 41865
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:46 +0530] "GET /employee HTTP/1.1" 200 40563
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:52 +0530] "GET /logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:52 +0530] "GET /signin HTTP/1.1" 200 4621
0:0:0:0:0:0:0:1 - - [03/May/2023:09:32:52 +0530] "GET /style.css HTTP/1.1" 404 682
