127.0.0.1 - - [06/Apr/2023:16:22:58 +0530] "GET / HTTP/1.1" 200 185397
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:22:59 +0530] "GET / HTTP/1.1" 200 185397
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:22:59 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:22:59 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:22:59 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:22:59 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:22:59 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:23:00 +0530] "GET /assets/img/favicon.ico HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:27:48 +0530] "GET /login HTTP/1.1" 200 19264
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:27:48 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:27:48 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:27:48 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:27:48 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:27:48 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "POST /checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "GET /login?error=Invalid+Details HTTP/1.1" 200 19264
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:07 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:13 +0530] "POST /checklogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:13 +0530] "GET / HTTP/1.1" 200 185642
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:14 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:14 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:14 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:14 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:14 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:27 +0530] "GET /about HTTP/1.1" 200 20608
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:27 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:27 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:27 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:27 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:27 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:29 +0530] "GET /contact HTTP/1.1" 200 26233
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:29 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:29 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:29 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:29 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:29 +0530] "GET /js/main.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:30 +0530] "GET / HTTP/1.1" 200 185642
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:30 +0530] "GET /lib/easing/easing.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:30 +0530] "GET /lib/owlcarousel/owl.carousel.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:30 +0530] "GET /mail/jqBootstrapValidation.min.js HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [06/Apr/2023:16:28:30 +0530] "GET /mail/contact.js HTTP/1.1" 404 682
